detector,seed,phase_definition,nominal_fpr,overall_fpr,climb_fpr,cruise_fpr,descent_fpr,max_min_phase_fpr_ratio,worst_offdiagonal_transfer_fpr,score_only_phase_balanced_accuracy,climb_flights_with_alarm,cruise_flights_with_alarm,descent_flights_with_alarm,events_per_flight
lstm_autoencoder,1,alt_rate,0.01,0.011687481096157354,0.005303024306847233,0.0032787924911212582,0.025991012140317928,7.927007339043193,0.3484338319136092,0.49790768989809014,0.8289473684210527,0.2894736842105263,0.9342105263157895,11.802631578947368
lstm_autoencoder,1,alt_rate,0.02,0.027406242712640812,0.007376744259674062,0.005067224759005581,0.06800590247501509,13.420739301952915,0.44000268294318867,0.49790768989809014,0.9078947368421053,0.3684210526315789,1.0,19.460526315789473
lstm_autoencoder,1,primary,0.005,0.005340407699607262,0.004123513617184504,0.002526272076041943,0.009667165424369255,3.826652527274641,0.10391858067808063,0.49733201995457615,0.8026315789473685,0.34210526315789475,0.5263157894736842,8.947368421052632
lstm_autoencoder,1,primary,0.01,0.011687481096157354,0.005718868779858423,0.004331576093852738,0.02520220372758176,5.818252567084781,0.2280334006771153,0.49733201995457615,0.8289473684210527,0.42105263157894735,0.8552631578947368,11.802631578947368
lstm_autoencoder,1,primary,0.02,0.027406242712640812,0.007863444572305332,0.007053951481733553,0.06719438449392182,9.525779227135876,0.3506243664972729,0.49733201995457615,0.9078947368421053,0.4868421052631579,1.0,19.460526315789473
lstm_autoencoder,2,alt_rate,0.005,0.005340407699607262,0.0038545863245292578,0.0018201420598680873,0.010322623918438528,5.6713287089177244,0.23939231336776443,0.4887040634192279,0.8026315789473685,0.2631578947368421,0.7236842105263158,8.921052631578947
lstm_autoencoder,2,alt_rate,0.01,0.012211593741125295,0.005635452696231687,0.0036529680365296802,0.026836139244751492,7.346393118250721,0.3240190488966396,0.4887040634192279,0.8421052631578947,0.32894736842105265,0.9210526315789473,12.18421052631579
lstm_autoencoder,2,alt_rate,0.02,0.028246670037611433,0.008112835693311065,0.005498477929984779,0.06936749614326916,12.615763312422931,0.4387014554966799,0.4887040634192279,0.9210526315789473,0.3684210526315789,1.0,19.86842105263158
lstm_autoencoder,2,primary,0.005,0.005340407699607262,0.004201973707152073,0.002555110798371189,0.009570631675481117,3.745681667339876,0.08946609941597082,0.47520237068597804,0.8026315789473685,0.3815789473684211,0.6578947368421053,8.921052631578947
lstm_autoencoder,2,primary,0.01,0.012211593741125295,0.006085015866373749,0.004729550461996332,0.026002054789797762,5.497785677250678,0.21260868665834637,0.47520237068597804,0.8421052631578947,0.40789473684210525,0.8552631578947368,12.18421052631579
