detector,seed,phase_definition,subset,unit,flight_class,phase,n,mean,median,p90,p95,p99
pca,-1,primary,official_test,14,1,descent,26650,0.14722692068662827,0.05213795232551728,0.22887151975724151,0.5017893001012285,0.806545995592421
pca,-1,primary,official_test,15,2,climb,48789,0.026273944595110288,0.017302943882125926,0.049738271263297565,0.06524454809249375,0.1342311135322852
pca,-1,primary,official_test,15,2,cruise,53466,0.04635429219749797,0.021316299184102223,0.050615029708350356,0.07127660008158208,0.1969098754052933
pca,-1,primary,official_test,15,2,descent,45284,3.3221250447617754,0.056648444730893005,0.2135964887223418,0.40602386164631993,0.8579101715605748
pca,-1,primary,official_test,all,mixed,climb,114708,0.023063030188705296,0.01285478273257307,0.04832252265254149,0.06813040077753832,0.14596511309007568
pca,-1,primary,official_test,all,mixed,cruise,173378,0.046769485041363544,0.01740871159137364,0.06579541472862661,0.09769432471659885,0.2521650845315306
pca,-1,primary,official_test,all,mixed,descent,145027,1.1328014099322241,0.04757356677174509,0.19055789914364882,0.36944185719902256,0.858304985654218
pca,-1,alt_rate,train,2,3,climb,62603,0.013702944364070144,0.008257980529016941,0.02958550972288093,0.04100081273126862,0.06981822036895395
pca,-1,alt_rate,train,2,3,cruise,68374,0.03623927271689415,0.013317257593932838,0.041441767428658814,0.06896950714311748,0.17967541371228343
pca,-1,alt_rate,train,2,3,descent,57886,0.15996026631473836,0.04308966676190368,0.1583718784459101,0.3307152679376678,1.1745393947820328
pca,-1,alt_rate,train,5,3,climb,53461,0.012921909792993768,0.0069632156440070075,0.025929944632920882,0.04439717238860432,0.09629318570503186
pca,-1,alt_rate,train,5,3,cruise,77061,0.020762352191689096,0.011677885573895024,0.049612014735442585,0.06381694614154264,0.10023767792038292
pca,-1,alt_rate,train,5,3,descent,58028,0.12236519534052143,0.040924076590969694,0.1361978319273497,0.30080394742955896,0.817601730360018
pca,-1,alt_rate,train,10,3,climb,53315,0.014001362132293567,0.005770826770065837,0.030658192021150738,0.05159133807213591,0.14076580768130253
pca,-1,alt_rate,train,10,3,cruise,76877,0.016538480507885412,0.008403299163083279,0.032254696239186365,0.05241955176075122,0.11516668739684968
pca,-1,alt_rate,train,10,3,descent,57858,0.12962136661331303,0.04397448513112123,0.13567276157854025,0.23934620930730685,0.7848406212063311
pca,-1,alt_rate,train,16,3,climb,53813,0.016985831935809437,0.011462647755005138,0.0342333742701456,0.05039791421303507,0.10770516203699329
pca,-1,alt_rate,train,16,3,cruise,79402,0.02612575975296956,0.014985314408644307,0.05097113155281346,0.07445429729776128,0.15587145124856583
pca,-1,alt_rate,train,16,3,descent,61404,0.2633607043400486,0.048432751559747536,0.16866350556579335,0.3307306560099151,0.8693667792837384
pca,-1,alt_rate,train,all,mixed,climb,223192,0.014378673256712013,0.008070116272664669,0.030203963742649935,0.0465413796409971,0.10304940322502343
pca,-1,alt_rate,train,all,mixed,cruise,301714,0.024604950373196703,0.012004158089935404,0.045073134074058614,0.06499894715240209,0.12917843323627468
pca,-1,alt_rate,train,all,mixed,descent,235176,0.1702176295622178,0.04474215232907484,0.14983435700154613,0.30398055572655724,0.8765762333836706
pca,-1,alt_rate,calibration,18,3,climb,59158,0.01726843445073169,0.011359634995030203,0.029364900192397042,0.052479797374198674,0.12163960968749256
pca,-1,alt_rate,calibration,18,3,cruise,71383,0.026115134733178603,0.01312622357436369,0.0322872434351508,0.04882229270926003,0.10672347415165388
pca,-1,alt_rate,calibration,18,3,descent,62748,0.1684004406668753,0.04922600917287224,0.13318877777876167,0.3046305356299523,0.8762417561010647
pca,-1,alt_rate,calibration,20,3,climb,52201,0.019951003317074792,0.011269960633386875,0.04636579288318804,0.06787318226913307,0.11930091428280705
pca,-1,alt_rate,calibration,20,3,cruise,79401,0.03696728847318753,0.015062319781225273,0.07984866694002232,0.11704745887641306,0.21069981137475602
pca,-1,alt_rate,calibration,20,3,descent,61752,2.7115921937566134,0.05072100736697618,0.1736953822376825,0.3385975995388508,1.2274824293614395
pca,-1,alt_rate,calibration,all,mixed,climb,111359,0.018525923988101607,0.011326497039298502,0.039291290548553716,0.061466624771278774,0.12035418399438297
pca,-1,alt_rate,calibration,all,mixed,cruise,150784,0.03182974542867978,0.013897027187909458,0.05519950645068311,0.09290105883175913,0.1831835495391384
pca,-1,alt_rate,calibration,all,mixed,descent,124500,1.4298235501993857,0.04988422998009745,0.1536902303255985,0.32268086046274574,1.015495628616824
pca,-1,alt_rate,official_test,11,3,climb,58507,0.014328771415185328,0.008151136565040648,0.024352319274417018,0.04343929991031782,0.09938200920649848
pca,-1,alt_rate,official_test,11,3,cruise,83871,0.03437765407967816,0.011807562169662859,0.04237970274343861,0.06713776339449065,0.1676892485358463
pca,-1,alt_rate,official_test,11,3,descent,70928,0.15213333131108436,0.044434809300045536,0.17633994565380812,0.34448733889856525,0.970765375455601
pca,-1,alt_rate,official_test,14,1,climb,13993,0.04801829648266127,0.02891477862035312,0.08877627787267753,0.1510376759225675,0.3361959409219272
pca,-1,alt_rate,official_test,14,1,cruise,30506,0.05344659519949823,0.03679665787143811,0.0988315639951832,0.13615567906170872,0.35125993342771783
