detector,seed,phase_definition,nominal_fpr,unit,flight_class,phase,healthy_flights,fraction_flights_with_false_alarm,events_per_healthy_flight,matched_fc
isolation_forest,0,primary,0.02,11,3,climb,18,1.0,1.4444444444444444,True
isolation_forest,0,primary,0.02,11,3,cruise,18,0.7777777777777778,6.944444444444445,True
isolation_forest,0,primary,0.02,11,3,descent,18,1.0,29.27777777777778,True
isolation_forest,0,primary,0.02,11,3,overall,18,1.0,37.666666666666664,True
isolation_forest,0,primary,0.02,14,1,climb,35,0.8285714285714286,1.5714285714285714,False
isolation_forest,0,primary,0.02,14,1,cruise,35,0.5714285714285714,4.6571428571428575,False
isolation_forest,0,primary,0.02,14,1,descent,35,1.0,11.571428571428571,False
isolation_forest,0,primary,0.02,14,1,overall,35,1.0,17.542857142857144,False
isolation_forest,0,primary,0.02,15,2,climb,23,0.8695652173913043,1.6956521739130435,False
isolation_forest,0,primary,0.02,15,2,cruise,23,0.43478260869565216,3.260869565217391,False
isolation_forest,0,primary,0.02,15,2,descent,23,1.0,23.565217391304348,False
isolation_forest,0,primary,0.02,15,2,overall,23,1.0,28.52173913043478,False
isolation_forest,0,primary,0.02,all,mixed,climb,76,0.881578947368421,1.5789473684210527,False
isolation_forest,0,primary,0.02,all,mixed,cruise,76,0.5789473684210527,4.776315789473684,False
isolation_forest,0,primary,0.02,all,mixed,descent,76,1.0,19.394736842105264,False
isolation_forest,0,primary,0.02,all,mixed,overall,76,1.0,25.63157894736842,False
isolation_forest,0,alt_rate,0.005,11,3,climb,18,0.5,0.8888888888888888,True
isolation_forest,0,alt_rate,0.005,11,3,cruise,18,0.5,2.3333333333333335,True
isolation_forest,0,alt_rate,0.005,11,3,descent,18,1.0,15.666666666666666,True
isolation_forest,0,alt_rate,0.005,11,3,overall,18,1.0,18.88888888888889,True
isolation_forest,0,alt_rate,0.005,14,1,climb,35,0.42857142857142855,0.45714285714285713,False
isolation_forest,0,alt_rate,0.005,14,1,cruise,35,0.2,1.1428571428571428,False
isolation_forest,0,alt_rate,0.005,14,1,descent,35,0.6571428571428571,1.0571428571428572,False
isolation_forest,0,alt_rate,0.005,14,1,overall,35,0.9428571428571428,2.657142857142857,False
isolation_forest,0,alt_rate,0.005,15,2,climb,23,0.2608695652173913,0.391304347826087,False
isolation_forest,0,alt_rate,0.005,15,2,cruise,23,0.17391304347826086,0.6956521739130435,False
isolation_forest,0,alt_rate,0.005,15,2,descent,23,0.5217391304347826,6.130434782608695,False
isolation_forest,0,alt_rate,0.005,15,2,overall,23,0.6086956521739131,7.173913043478261,False
isolation_forest,0,alt_rate,0.005,all,mixed,climb,76,0.39473684210526316,0.5394736842105263,False
isolation_forest,0,alt_rate,0.005,all,mixed,cruise,76,0.2631578947368421,1.2894736842105263,False
