detector,seed,phase_definition,nominal_fpr,unit,cycle,flight_class,phase,rows,false_alarms,any_false_alarm,false_alarm_events,matched_fc
pca,-1,primary,0.005,14,31,1,overall,2629,2,1,2,False
pca,-1,primary,0.005,14,31,1,climb,490,0,0,0,False
pca,-1,primary,0.005,14,31,1,cruise,1339,0,0,0,False
pca,-1,primary,0.005,14,31,1,descent,800,2,1,2,False
pca,-1,primary,0.005,14,32,1,overall,1006,14,1,13,False
pca,-1,primary,0.005,14,32,1,climb,262,0,0,0,False
pca,-1,primary,0.005,14,32,1,cruise,356,0,0,0,False
pca,-1,primary,0.005,14,32,1,descent,388,14,1,13,False
pca,-1,primary,0.005,14,33,1,overall,1528,10,1,4,False
pca,-1,primary,0.005,14,33,1,climb,435,0,0,0,False
pca,-1,primary,0.005,14,33,1,cruise,592,0,0,0,False
pca,-1,primary,0.005,14,33,1,descent,501,10,1,4,False
pca,-1,primary,0.005,14,34,1,overall,1944,4,1,3,False
pca,-1,primary,0.005,14,34,1,climb,142,0,0,0,False
pca,-1,primary,0.005,14,34,1,cruise,1554,3,1,2,False
pca,-1,primary,0.005,14,34,1,descent,248,1,1,1,False
pca,-1,primary,0.005,14,35,1,overall,1706,31,1,6,False
pca,-1,primary,0.005,14,35,1,climb,38,0,0,0,False
pca,-1,primary,0.005,14,35,1,cruise,47,0,0,0,False
pca,-1,primary,0.005,14,35,1,descent,1621,31,1,6,False
pca,-1,primary,0.005,15,1,2,overall,2669,5,1,5,False
pca,-1,primary,0.005,15,1,2,climb,625,0,0,0,False
pca,-1,primary,0.005,15,1,2,cruise,752,0,0,0,False
pca,-1,primary,0.005,15,1,2,descent,1292,5,1,5,False
pca,-1,primary,0.005,15,2,2,overall,7711,3,1,2,False
pca,-1,primary,0.005,15,2,2,climb,2028,0,0,0,False
pca,-1,primary,0.005,15,2,2,cruise,3298,0,0,0,False
pca,-1,primary,0.005,15,2,2,descent,2385,3,1,2,False
pca,-1,primary,0.005,15,3,2,overall,5503,63,1,27,False
pca,-1,primary,0.005,15,3,2,climb,3519,0,0,0,False
pca,-1,primary,0.005,15,3,2,cruise,722,1,1,1,False
pca,-1,primary,0.005,15,3,2,descent,1262,62,1,26,False
pca,-1,primary,0.005,15,4,2,overall,6372,3,1,2,False
pca,-1,primary,0.005,15,4,2,climb,2754,0,0,0,False
pca,-1,primary,0.005,15,4,2,cruise,2405,0,0,0,False
pca,-1,primary,0.005,15,4,2,descent,1213,3,1,2,False
pca,-1,primary,0.005,15,5,2,overall,6075,0,0,0,False
pca,-1,primary,0.005,15,5,2,climb,1642,0,0,0,False
pca,-1,primary,0.005,15,5,2,cruise,2509,0,0,0,False
pca,-1,primary,0.005,15,5,2,descent,1924,0,0,0,False
pca,-1,primary,0.005,15,6,2,overall,9157,82,1,25,False
pca,-1,primary,0.005,15,6,2,climb,3584,0,0,0,False
pca,-1,primary,0.005,15,6,2,cruise,2702,55,1,13,False
pca,-1,primary,0.005,15,6,2,descent,2871,27,1,12,False
pca,-1,primary,0.005,15,7,2,overall,5892,49,1,14,False
pca,-1,primary,0.005,15,7,2,climb,2990,26,1,8,False
pca,-1,primary,0.005,15,7,2,cruise,2120,2,1,2,False
pca,-1,primary,0.005,15,7,2,descent,782,21,1,4,False
pca,-1,primary,0.005,15,8,2,overall,4015,3,1,3,False
pca,-1,primary,0.005,15,8,2,climb,748,0,0,0,False
pca,-1,primary,0.005,15,8,2,cruise,1371,0,0,0,False
pca,-1,primary,0.005,15,8,2,descent,1896,3,1,3,False
pca,-1,primary,0.005,15,9,2,overall,8714,117,1,39,False
pca,-1,primary,0.005,15,9,2,climb,2650,0,0,0,False
pca,-1,primary,0.005,15,9,2,cruise,4542,26,1,14,False
pca,-1,primary,0.005,15,9,2,descent,1522,91,1,25,False
pca,-1,primary,0.005,15,10,2,overall,5218,30,1,19,False
pca,-1,primary,0.005,15,10,2,climb,2439,0,0,0,False
pca,-1,primary,0.005,15,10,2,cruise,1376,0,0,0,False
pca,-1,primary,0.005,15,10,2,descent,1403,30,1,19,False
pca,-1,primary,0.005,15,11,2,overall,6001,48,1,13,False
pca,-1,primary,0.005,15,11,2,climb,2203,0,0,0,False
pca,-1,primary,0.005,15,11,2,cruise,2046,0,0,0,False
pca,-1,primary,0.005,15,11,2,descent,1752,48,1,13,False
pca,-1,primary,0.005,15,12,2,overall,8363,2,1,2,False
pca,-1,primary,0.005,15,12,2,climb,1990,0,0,0,False
pca,-1,primary,0.005,15,12,2,cruise,3014,0,0,0,False
pca,-1,primary,0.005,15,12,2,descent,3359,2,1,2,False
