detector,seed,phase_definition,nominal_fpr,phase,bootstrap_unit,repetitions,estimate,ci_lower_95,ci_upper_95
lstm_autoencoder,1,alt_rate,0.005,climb,flight,500,0.003791266631313171,0.002898991986236592,0.005012156351087413
lstm_autoencoder,1,alt_rate,0.005,cruise,flight,500,0.0018074581430745813,0.0009361888363114571,0.002857537618853593
lstm_autoencoder,1,alt_rate,0.005,descent,flight,500,0.010389697498155477,0.006729397822540182,0.01477836786560214
lstm_autoencoder,1,alt_rate,0.005,overall,flight,500,0.005340407699607262,0.004037016042831972,0.0069609035856565
lstm_autoencoder,1,alt_rate,0.01,climb,flight,500,0.005303024306847233,0.004258490748814915,0.006774159636388302
lstm_autoencoder,1,alt_rate,0.01,cruise,flight,500,0.0032787924911212582,0.0014901215710230566,0.005644591056616357
lstm_autoencoder,1,alt_rate,0.01,descent,flight,500,0.025991012140317928,0.01930287295654756,0.03335923008623478
lstm_autoencoder,1,alt_rate,0.01,overall,flight,500,0.011687481096157354,0.008799742769969194,0.014897764842834879
lstm_autoencoder,1,alt_rate,0.02,climb,flight,500,0.007376744259674062,0.005885668514382015,0.00939922352278402
lstm_autoencoder,1,alt_rate,0.02,cruise,flight,500,0.005067224759005581,0.0025650075596578316,0.008380648719513892
lstm_autoencoder,1,alt_rate,0.02,descent,flight,500,0.06800590247501509,0.05520793338519888,0.08242238288167597
lstm_autoencoder,1,alt_rate,0.02,overall,flight,500,0.027406242712640812,0.022667128869945694,0.03420900977891332
lstm_autoencoder,1,primary,0.005,climb,flight,500,0.004123513617184504,0.0029810393694742186,0.005455313437289849
lstm_autoencoder,1,primary,0.005,cruise,flight,500,0.002526272076041943,0.0015213629844852954,0.0036978654654188487
lstm_autoencoder,1,primary,0.005,descent,flight,500,0.009667165424369255,0.006046139854701922,0.013994450150569368
lstm_autoencoder,1,primary,0.005,overall,flight,500,0.005340407699607262,0.004052939422763957,0.0071658298975632116
lstm_autoencoder,1,primary,0.01,climb,flight,500,0.005718868779858423,0.004403573745174401,0.0074964432322140425
lstm_autoencoder,1,primary,0.01,cruise,flight,500,0.004331576093852738,0.002554910688681919,0.006777266540384309
lstm_autoencoder,1,primary,0.01,descent,flight,500,0.02520220372758176,0.0175308601474171,0.033360152983597326
lstm_autoencoder,1,primary,0.01,overall,flight,500,0.011687481096157354,0.008984143218345906,0.01504646615013795
lstm_autoencoder,1,primary,0.02,climb,flight,500,0.007863444572305332,0.006285649998506841,0.009744464883628259
lstm_autoencoder,1,primary,0.02,cruise,flight,500,0.007053951481733553,0.004229692970873962,0.010569881182359044
lstm_autoencoder,1,primary,0.02,descent,flight,500,0.06719438449392182,0.053160159456858445,0.08463500995322637
lstm_autoencoder,1,primary,0.02,overall,flight,500,0.027406242712640812,0.022135248394047614,0.03357854766622208
lstm_autoencoder,2,alt_rate,0.005,climb,flight,500,0.0038545863245292578,0.002930103666007064,0.00497303060582081
lstm_autoencoder,2,alt_rate,0.005,cruise,flight,500,0.0018201420598680873,0.0010042996252759527,0.0028685683391490155
lstm_autoencoder,2,alt_rate,0.005,descent,flight,500,0.010322623918438528,0.0072478202848238645,0.014228689682539044
lstm_autoencoder,2,alt_rate,0.005,overall,flight,500,0.005340407699607262,0.004074615312383381,0.006988463156128239
lstm_autoencoder,2,alt_rate,0.01,climb,flight,500,0.005635452696231687,0.004501388633369251,0.0071576948806756965
lstm_autoencoder,2,alt_rate,0.01,cruise,flight,500,0.0036529680365296802,0.0016807918017343142,0.0059685505587702475
lstm_autoencoder,2,alt_rate,0.01,descent,flight,500,0.026836139244751492,0.020604786488003783,0.03425906821447675
lstm_autoencoder,2,alt_rate,0.01,overall,flight,500,0.012211593741125295,0.009370726566265551,0.015250726832541237
lstm_autoencoder,2,alt_rate,0.02,climb,flight,500,0.008112835693311065,0.0065517934936583705,0.010467501512275521
lstm_autoencoder,2,alt_rate,0.02,cruise,flight,500,0.005498477929984779,0.0027719390998984187,0.009504487592635814
lstm_autoencoder,2,alt_rate,0.02,descent,flight,500,0.06936749614326916,0.05497402168586308,0.08287076388253552
lstm_autoencoder,2,alt_rate,0.02,overall,flight,500,0.028246670037611433,0.023384591771798195,0.035041199892336096
lstm_autoencoder,2,primary,0.005,climb,flight,500,0.004201973707152073,0.003170896881331875,0.005355628645222475
lstm_autoencoder,2,primary,0.005,cruise,flight,500,0.002555110798371189,0.0014699257698292084,0.003719649485561795
lstm_autoencoder,2,primary,0.005,descent,flight,500,0.009570631675481117,0.006480595371687534,0.013223568666498629
lstm_autoencoder,2,primary,0.005,overall,flight,500,0.005340407699607262,0.004077910876011813,0.007058589744025356
lstm_autoencoder,2,primary,0.01,climb,flight,500,0.006085015866373749,0.004919374976529465,0.007703755486603329
