detector,seed,phase_definition,nominal_fpr,unit,flight_class,calibration_phase,test_phase,n,false_alarms,false_alarm_rate,threshold,matched_fc
pca,-1,alt_rate,0.01,11,3,descent,cruise,83871,108,0.001287691812426226,1.015523805945736,True
pca,-1,alt_rate,0.01,11,3,descent,descent,70928,667,0.00940390254906384,1.015523805945736,True
pca,-1,alt_rate,0.01,14,1,descent,climb,13993,8,0.0005717144286428928,1.015523805945736,False
pca,-1,alt_rate,0.01,14,1,descent,cruise,30506,27,0.0008850717891562315,1.015523805945736,False
pca,-1,alt_rate,0.01,14,1,descent,descent,27769,183,0.006590082466059275,1.015523805945736,False
pca,-1,alt_rate,0.01,15,2,descent,climb,53843,19,0.00035287781141466856,1.015523805945736,False
pca,-1,alt_rate,0.01,15,2,descent,cruise,43303,22,0.0005080479412511835,1.015523805945736,False
pca,-1,alt_rate,0.01,15,2,descent,descent,50393,440,0.008731371420633818,1.015523805945736,False
pca,-1,alt_rate,0.01,all,mixed,descent,climb,126343,39,0.00030868350442842104,1.015523805945736,False
pca,-1,alt_rate,0.01,all,mixed,descent,cruise,157680,157,0.000995687468290208,1.015523805945736,False
pca,-1,alt_rate,0.01,all,mixed,descent,descent,149090,1290,0.008652491783486484,1.015523805945736,False
pca,-1,alt_rate,0.02,11,3,climb,climb,58507,970,0.01657921274377425,0.08621414526720575,True
pca,-1,alt_rate,0.02,11,3,climb,cruise,83871,2679,0.03194191079157277,0.08621414526720575,True
pca,-1,alt_rate,0.02,11,3,climb,descent,70928,16990,0.2395386871193323,0.08621414526720575,True
pca,-1,alt_rate,0.02,14,1,climb,climb,13993,1503,0.1074108482812835,0.08621414526720575,False
pca,-1,alt_rate,0.02,14,1,climb,cruise,30506,4360,0.14292270373041369,0.08621414526720575,False
pca,-1,alt_rate,0.02,14,1,climb,descent,27769,7526,0.27102164283913716,0.08621414526720575,False
pca,-1,alt_rate,0.02,15,2,climb,climb,53843,1403,0.026057240495514736,0.08621414526720575,False
pca,-1,alt_rate,0.02,15,2,climb,cruise,43303,548,0.012655012354802207,0.08621414526720575,False
pca,-1,alt_rate,0.02,15,2,climb,descent,50393,13433,0.26656480066675925,0.08621414526720575,False
pca,-1,alt_rate,0.02,all,mixed,climb,climb,126343,3876,0.030678391363193846,0.08621414526720575,False
pca,-1,alt_rate,0.02,all,mixed,climb,cruise,157680,7587,0.04811643835616438,0.08621414526720575,False
pca,-1,alt_rate,0.02,all,mixed,climb,descent,149090,37949,0.25453752766785165,0.08621414526720575,False
pca,-1,alt_rate,0.02,11,3,cruise,climb,58507,270,0.004614832413215512,0.14165469158605454,True
pca,-1,alt_rate,0.02,11,3,cruise,cruise,83871,1089,0.01298422577529778,0.14165469158605454,True
pca,-1,alt_rate,0.02,11,3,cruise,descent,70928,9093,0.1282004286036544,0.14165469158605454,True
pca,-1,alt_rate,0.02,14,1,cruise,climb,13993,759,0.05424140641749446,0.14165469158605454,False
pca,-1,alt_rate,0.02,14,1,cruise,cruise,30506,1408,0.046154854782665705,0.14165469158605454,False
pca,-1,alt_rate,0.02,14,1,cruise,descent,27769,4118,0.14829486117613166,0.14165469158605454,False
pca,-1,alt_rate,0.02,15,2,cruise,climb,53843,420,0.0078004568839032,0.14165469158605454,False
pca,-1,alt_rate,0.02,15,2,cruise,cruise,43303,247,0.005703992794956469,0.14165469158605454,False
pca,-1,alt_rate,0.02,15,2,cruise,descent,50393,7458,0.1479967455797432,0.14165469158605454,False
pca,-1,alt_rate,0.02,all,mixed,cruise,climb,126343,1449,0.011468779433763643,0.14165469158605454,False
pca,-1,alt_rate,0.02,all,mixed,cruise,cruise,157680,2744,0.017402333840690006,0.14165469158605454,False
pca,-1,alt_rate,0.02,all,mixed,cruise,descent,149090,20669,0.1386343819169629,0.14165469158605454,False
pca,-1,alt_rate,0.02,11,3,descent,climb,58507,37,0.0006324029603295332,0.6357903633779676,True
pca,-1,alt_rate,0.02,11,3,descent,cruise,83871,154,0.0018361531399411,0.6357903633779676,True
pca,-1,alt_rate,0.02,11,3,descent,descent,70928,1462,0.02061245206406497,0.6357903633779676,True
pca,-1,alt_rate,0.02,14,1,descent,climb,13993,21,0.0015007503751875938,0.6357903633779676,False
pca,-1,alt_rate,0.02,14,1,descent,cruise,30506,91,0.0029830197338228544,0.6357903633779676,False
pca,-1,alt_rate,0.02,14,1,descent,descent,27769,577,0.020778566026864488,0.6357903633779676,False
pca,-1,alt_rate,0.02,15,2,descent,climb,53843,43,0.0007986182047805657,0.6357903633779676,False
pca,-1,alt_rate,0.02,15,2,descent,cruise,43303,62,0.00143177147079879,0.6357903633779676,False
pca,-1,alt_rate,0.02,15,2,descent,descent,50393,1124,0.02230468517452821,0.6357903633779676,False
pca,-1,alt_rate,0.02,all,mixed,descent,climb,126343,101,0.0007994111268530904,0.6357903633779676,False
pca,-1,alt_rate,0.02,all,mixed,descent,cruise,157680,307,0.0019469812278031457,0.6357903633779676,False
pca,-1,alt_rate,0.02,all,mixed,descent,descent,149090,3163,0.021215373264471125,0.6357903633779676,False
isolation_forest,0,primary,0.005,11,3,climb,climb,53678,170,0.003167033048921346,0.4760666735222631,True
