detector,seed,phase_definition,nominal_fpr,unit,flight_class,phase,n,false_alarms,false_alarm_rate,threshold,matched_fc
isolation_forest,0,primary,0.01,11,3,cruise,86535,322,0.003721037730398105,0.565119723987118,True
isolation_forest,0,primary,0.01,11,3,descent,73093,1632,0.022327719480661624,0.565119723987118,True
isolation_forest,0,primary,0.01,14,1,overall,72268,1299,0.017974760613272817,0.565119723987118,False
isolation_forest,0,primary,0.01,14,1,climb,12241,182,0.0148680663344498,0.565119723987118,False
isolation_forest,0,primary,0.01,14,1,cruise,33377,450,0.013482338137040476,0.565119723987118,False
isolation_forest,0,primary,0.01,14,1,descent,26650,667,0.0250281425891182,0.565119723987118,False
isolation_forest,0,primary,0.01,15,2,overall,147539,1390,0.009421237774418967,0.565119723987118,False
isolation_forest,0,primary,0.01,15,2,climb,48789,96,0.001967656643915637,0.565119723987118,False
isolation_forest,0,primary,0.01,15,2,cruise,53466,210,0.003927729772191673,0.565119723987118,False
isolation_forest,0,primary,0.01,15,2,descent,45284,1084,0.02393781468068192,0.565119723987118,False
isolation_forest,0,primary,0.01,all,mixed,overall,433113,4692,0.010833200573522384,0.565119723987118,False
isolation_forest,0,primary,0.01,all,mixed,climb,114708,327,0.0028507166021550373,0.565119723987118,False
isolation_forest,0,primary,0.01,all,mixed,cruise,173378,982,0.005663925065463899,0.565119723987118,False
isolation_forest,0,primary,0.01,all,mixed,descent,145027,3383,0.023326690892040793,0.565119723987118,False
isolation_forest,0,primary,0.02,11,3,overall,213306,4170,0.0195493797642823,0.5073643629041794,True
isolation_forest,0,primary,0.02,11,3,climb,53678,113,0.0021051454972241886,0.5073643629041794,True
isolation_forest,0,primary,0.02,11,3,cruise,86535,550,0.0063558097879470735,0.5073643629041794,True
isolation_forest,0,primary,0.02,11,3,descent,73093,3507,0.047979970722230585,0.5073643629041794,True
isolation_forest,0,primary,0.02,14,1,overall,72268,4657,0.06444069297614435,0.5073643629041794,False
isolation_forest,0,primary,0.02,14,1,climb,12241,428,0.03496446368760722,0.5073643629041794,False
isolation_forest,0,primary,0.02,14,1,cruise,33377,870,0.026065853731611587,0.5073643629041794,False
isolation_forest,0,primary,0.02,14,1,descent,26650,3359,0.12604127579737337,0.5073643629041794,False
