detector,phase_definition,subset,unit,flight_class,phase,n,false_alarms,false_alarm_rate,threshold
history,primary,official_test,11,3,climb,53678,52,0.0009687395208465294,0.5031777905496853
history,primary,official_test,11,3,cruise,86535,351,0.004056162246489859,0.5031777905496853
history,primary,official_test,11,3,descent,73093,2032,0.027800199745529667,0.5031777905496853
history,primary,official_test,14,1,overall,72268,1525,0.02110200918802236,0.5031777905496853
history,primary,official_test,14,1,climb,12241,36,0.0029409361980230375,0.5031777905496853
history,primary,official_test,14,1,cruise,33377,164,0.004913563232165863,0.5031777905496853
history,primary,official_test,14,1,descent,26650,1325,0.04971857410881801,0.5031777905496853
history,primary,official_test,15,2,overall,147539,1942,0.013162621408576715,0.5031777905496853
history,primary,official_test,15,2,climb,48789,55,0.0011273032855766668,0.5031777905496853
history,primary,official_test,15,2,cruise,53466,227,0.004245688848988142,0.5031777905496853
history,primary,official_test,15,2,descent,45284,1660,0.036657539086653125,0.5031777905496853
history,primary,official_test,all,mixed,overall,433113,5902,0.013626928769166477,0.5031777905496853
history,primary,official_test,all,mixed,climb,114708,143,0.001246643651706943,0.5031777905496853
history,primary,official_test,all,mixed,cruise,173378,742,0.0042796663936600955,0.5031777905496853
history,primary,official_test,all,mixed,descent,145027,5017,0.03459355844084205,0.5031777905496853
history,alt_rate,train,2,3,overall,188863,1884,0.009975484875279965,0.5031777905496853
history,alt_rate,train,2,3,climb,62603,24,0.00038336820919125284,0.5031777905496853
history,alt_rate,train,2,3,cruise,68374,218,0.0031883464474800364,0.5031777905496853
history,alt_rate,train,2,3,descent,57886,1642,0.028366098884013407,0.5031777905496853
history,alt_rate,train,5,3,overall,188550,1680,0.008910103420843278,0.5031777905496853
history,alt_rate,train,5,3,climb,53461,13,0.000243167916799162,0.5031777905496853
history,alt_rate,train,5,3,cruise,77061,29,0.0003763252488288499,0.5031777905496853
history,alt_rate,train,5,3,descent,58028,1638,0.02822775211966637,0.5031777905496853
history,alt_rate,train,10,3,overall,188050,1401,0.007450146237702739,0.5031777905496853
history,alt_rate,train,10,3,climb,53315,1,1.875644752883804e-05,0.5031777905496853
history,alt_rate,train,10,3,cruise,76877,89,0.0011576934583815706,0.5031777905496853
history,alt_rate,train,10,3,descent,57858,1311,0.022658923571502645,0.5031777905496853
history,alt_rate,train,16,3,overall,194619,1839,0.009449231575539901,0.5031777905496853
history,alt_rate,train,16,3,climb,53813,3,5.574861093044432e-05,0.5031777905496853
history,alt_rate,train,16,3,cruise,79402,137,0.001725397345155034,0.5031777905496853
history,alt_rate,train,16,3,descent,61404,1699,0.02766920721777083,0.5031777905496853
history,alt_rate,train,all,mixed,overall,760082,6804,0.00895166574132791,0.5031777905496853
history,alt_rate,train,all,mixed,climb,223192,41,0.00018369834044230975,0.5031777905496853
history,alt_rate,train,all,mixed,cruise,301714,473,0.0015677098179070245,0.5031777905496853
history,alt_rate,train,all,mixed,descent,235176,6290,0.02674592645508045,0.5031777905496853
history,alt_rate,calibration,18,3,overall,193289,1849,0.009565986683153206,0.5031777905496853
history,alt_rate,calibration,18,3,climb,59158,41,0.0006930592650191014,0.5031777905496853
history,alt_rate,calibration,18,3,cruise,71383,79,0.001106706078478069,0.5031777905496853
history,alt_rate,calibration,18,3,descent,62748,1729,0.027554663096831772,0.5031777905496853
