detector,phase_definition,unit,flight_class,calibration_phase,test_phase,threshold,n,false_alarms,false_alarm_rate
history,primary,all,mixed,cruise,cruise,0.20799296362184,173378,2301,0.013271580015918974
history,primary,all,mixed,cruise,descent,0.20799296362184,145027,13227,0.0912037068959573
history,primary,11,3,descent,climb,0.8242883951396902,53678,6,0.00011177763702075338
history,primary,11,3,descent,cruise,0.8242883951396902,86535,208,0.0024036517016236205
history,primary,11,3,descent,descent,0.8242883951396902,73093,818,0.011191222141655152
history,primary,14,1,descent,climb,0.8242883951396902,12241,17,0.0013887754268442122
history,primary,14,1,descent,cruise,0.8242883951396902,33377,61,0.0018276058363543757
history,primary,14,1,descent,descent,0.8242883951396902,26650,249,0.009343339587242027
history,primary,15,2,descent,climb,0.8242883951396902,48789,24,0.0004919141609789092
history,primary,15,2,descent,cruise,0.8242883951396902,53466,144,0.002693300415217147
history,primary,15,2,descent,descent,0.8242883951396902,45284,501,0.01106351029061037
history,primary,all,mixed,descent,climb,0.8242883951396902,114708,47,0.000409736025386198
history,primary,all,mixed,descent,cruise,0.8242883951396902,173378,413,0.0023820784643957134
history,primary,all,mixed,descent,descent,0.8242883951396902,145027,1568,0.010811779875471463
history,alt_rate,11,3,climb,climb,0.12037882165085663,58507,362,0.006187293828088946
history,alt_rate,11,3,climb,cruise,0.12037882165085663,83871,1398,0.01666845512751726
history,alt_rate,11,3,climb,descent,0.12037882165085663,70928,10932,0.15412812993458155
history,alt_rate,14,1,climb,climb,0.12037882165085663,13993,851,0.06081612234688773
history,alt_rate,14,1,climb,cruise,0.12037882165085663,30506,1913,0.06270897528355078
history,alt_rate,14,1,climb,descent,0.12037882165085663,27769,4613,0.16612049407612806
history,alt_rate,15,2,climb,climb,0.12037882165085663,53843,651,0.01209070817004996
history,alt_rate,15,2,climb,cruise,0.12037882165085663,43303,299,0.006904833383368358
history,alt_rate,15,2,climb,descent,0.12037882165085663,50393,8914,0.17688964737165877
history,alt_rate,all,mixed,climb,climb,0.12037882165085663,126343,1864,0.014753488519348124
history,alt_rate,all,mixed,climb,cruise,0.12037882165085663,157680,3610,0.02289446981227803
history,alt_rate,all,mixed,climb,descent,0.12037882165085663,149090,24459,0.16405526862968678
history,alt_rate,11,3,cruise,climb,0.18319038304151694,58507,170,0.0029056352231356932
history,alt_rate,11,3,cruise,cruise,0.18319038304151694,83871,754,0.008989996542309022
history,alt_rate,11,3,cruise,descent,0.18319038304151694,70928,6775,0.09551939995488383
history,alt_rate,14,1,cruise,climb,0.18319038304151694,13993,548,0.039162438362038164
history,alt_rate,14,1,cruise,cruise,0.18319038304151694,30506,868,0.028453418999541073
history,alt_rate,14,1,cruise,descent,0.18319038304151694,27769,3461,0.12463538478159099
history,alt_rate,15,2,cruise,climb,0.18319038304151694,53843,212,0.003937373474732091
history,alt_rate,15,2,cruise,cruise,0.18319038304151694,43303,204,0.004710990000692793
history,alt_rate,15,2,cruise,descent,0.18319038304151694,50393,5716,0.11342845236441569
history,alt_rate,all,mixed,cruise,climb,0.18319038304151694,126343,930,0.00736091433637004
history,alt_rate,all,mixed,cruise,cruise,0.18319038304151694,157680,1826,0.011580416032470828
history,alt_rate,all,mixed,cruise,descent,0.18319038304151694,149090,15952,0.10699577436447784
history,alt_rate,11,3,descent,climb,1.015523805945736,58507,12,0.00020510366280957835
history,alt_rate,11,3,descent,cruise,1.015523805945736,83871,108,0.001287691812426226
history,alt_rate,11,3,descent,descent,1.015523805945736,70928,667,0.00940390254906384
history,alt_rate,14,1,descent,climb,1.015523805945736,13993,8,0.0005717144286428928
history,alt_rate,14,1,descent,cruise,1.015523805945736,30506,27,0.0008850717891562315
history,alt_rate,14,1,descent,descent,1.015523805945736,27769,183,0.006590082466059275
history,alt_rate,15,2,descent,climb,1.015523805945736,53843,19,0.00035287781141466856
history,alt_rate,15,2,descent,cruise,1.015523805945736,43303,22,0.0005080479412511835
history,alt_rate,15,2,descent,descent,1.015523805945736,50393,440,0.008731371420633818
history,alt_rate,all,mixed,descent,climb,1.015523805945736,126343,39,0.00030868350442842104
history,alt_rate,all,mixed,descent,cruise,1.015523805945736,157680,157,0.000995687468290208
history,alt_rate,all,mixed,descent,descent,1.015523805945736,149090,1290,0.008652491783486484
