detector,phase_definition,subset,unit,cycle,flight_class,phase,rows,false_alarms,any_false_alarm,false_alarm_events
static,primary,official_test,15,4,2,overall,6372,13,1,5
static,primary,official_test,15,4,2,climb,2754,8,1,3
static,primary,official_test,15,4,2,cruise,2405,1,1,1
static,primary,official_test,15,4,2,descent,1213,4,1,1
static,primary,official_test,15,5,2,overall,6075,1,1,1
static,primary,official_test,15,5,2,climb,1642,0,0,0
static,primary,official_test,15,5,2,cruise,2509,0,0,0
static,primary,official_test,15,5,2,descent,1924,1,1,1
static,primary,official_test,15,6,2,overall,9157,105,1,32
static,primary,official_test,15,6,2,climb,3584,0,0,0
static,primary,official_test,15,6,2,cruise,2702,33,1,20
static,primary,official_test,15,6,2,descent,2871,72,1,12
static,primary,official_test,15,7,2,overall,5892,68,1,25
static,primary,official_test,15,7,2,climb,2990,40,1,11
static,primary,official_test,15,7,2,cruise,2120,5,1,3
static,primary,official_test,15,7,2,descent,782,23,1,11
static,primary,official_test,15,8,2,overall,4015,7,1,3
static,primary,official_test,15,8,2,climb,748,0,0,0
static,primary,official_test,15,8,2,cruise,1371,0,0,0
static,primary,official_test,15,8,2,descent,1896,7,1,3
static,primary,official_test,15,9,2,overall,8714,235,1,72
static,primary,official_test,15,9,2,climb,2650,0,0,0
static,primary,official_test,15,9,2,cruise,4542,73,1,26
static,primary,official_test,15,9,2,descent,1522,162,1,46
static,primary,official_test,15,10,2,overall,5218,178,1,33
static,primary,official_test,15,10,2,climb,2439,0,0,0
static,primary,official_test,15,10,2,cruise,1376,0,0,0
static,primary,official_test,15,10,2,descent,1403,178,1,33
static,primary,official_test,15,11,2,overall,6001,48,1,17
static,primary,official_test,15,11,2,climb,2203,0,0,0
static,primary,official_test,15,11,2,cruise,2046,0,0,0
static,primary,official_test,15,11,2,descent,1752,48,1,17
static,primary,official_test,15,12,2,overall,8363,25,1,15
static,primary,official_test,15,12,2,climb,1990,2,1,2
static,primary,official_test,15,12,2,cruise,3014,0,0,0
static,primary,official_test,15,12,2,descent,3359,23,1,13
static,primary,official_test,15,13,2,overall,5761,33,1,11
static,primary,official_test,15,13,2,climb,1671,0,0,0
static,primary,official_test,15,13,2,cruise,2573,0,0,0
static,primary,official_test,15,13,2,descent,1517,33,1,11
static,primary,official_test,15,14,2,overall,6942,15,1,5
static,primary,official_test,15,14,2,climb,2058,0,0,0
static,primary,official_test,15,14,2,cruise,3278,0,0,0
static,primary,official_test,15,14,2,descent,1606,15,1,5
static,primary,official_test,15,15,2,overall,8154,57,1,18
static,primary,official_test,15,15,2,climb,2033,0,0,0
static,primary,official_test,15,15,2,cruise,2970,35,1,17
static,primary,official_test,15,15,2,descent,3151,22,1,1
static,primary,official_test,15,16,2,overall,5218,175,1,35
static,primary,official_test,15,16,2,climb,2439,0,0,0
static,primary,official_test,15,16,2,cruise,1376,0,0,0
static,primary,official_test,15,16,2,descent,1403,175,1,35
static,primary,official_test,15,17,2,overall,5804,193,1,27
static,primary,official_test,15,17,2,climb,1845,0,0,0
static,primary,official_test,15,17,2,cruise,2329,0,0,0
static,primary,official_test,15,17,2,descent,1630,193,1,27
static,primary,official_test,15,18,2,overall,8154,60,1,19
static,primary,official_test,15,18,2,climb,2033,0,0,0
static,primary,official_test,15,18,2,cruise,2970,38,1,18
static,primary,official_test,15,18,2,descent,3151,22,1,1
static,primary,official_test,15,19,2,overall,6782,215,1,62
static,primary,official_test,15,19,2,climb,2887,0,0,0
static,primary,official_test,15,19,2,cruise,1196,40,1,7
static,primary,official_test,15,19,2,descent,2699,175,1,55
static,primary,official_test,15,20,2,overall,6265,8,1,4
static,primary,official_test,15,20,2,climb,1256,0,0,0
static,primary,official_test,15,20,2,cruise,2569,2,1,1
static,primary,official_test,15,20,2,descent,2440,6,1,3
static,primary,official_test,15,21,2,overall,6381,66,1,16
static,primary,official_test,15,21,2,climb,1264,0,0,0
static,primary,official_test,15,21,2,cruise,2088,0,0,0
static,primary,official_test,15,21,2,descent,3029,66,1,16
static,primary,official_test,15,22,2,overall,5501,97,1,16
static,primary,official_test,15,22,2,climb,2343,0,0,0
static,primary,official_test,15,22,2,cruise,1857,0,0,0
static,primary,official_test,15,22,2,descent,1301,97,1,16
static,primary,official_test,15,23,2,overall,6887,27,1,16
static,primary,official_test,15,23,2,climb,1788,0,0,0
static,primary,official_test,15,23,2,cruise,3403,0,0,0
static,primary,official_test,15,23,2,descent,1696,27,1,16
static,alt_rate,official_test,11,1,3,overall,11007,94,1,42
static,alt_rate,official_test,11,1,3,climb,2930,0,0,0
static,alt_rate,official_test,11,1,3,cruise,3885,24,1,10
static,alt_rate,official_test,11,1,3,descent,4192,70,1,32
static,alt_rate,official_test,11,2,3,overall,17636,267,1,70
