detector,phase_definition,subset,unit,flight_class,phase,n,mean,median,p90,p95,p99
static,alt_rate,calibration,18,3,cruise,71383,0.019712858578392226,0.008751485319520436,0.024420717768775316,0.03431309196970736,0.12017189454811374
static,alt_rate,calibration,18,3,descent,62748,0.12422763022420805,0.04329640478750647,0.1085476971017788,0.229104624257421,0.5554114529091012
static,alt_rate,calibration,20,3,climb,52201,0.01442742667484268,0.00872817557059189,0.028607399871106342,0.04088583724756093,0.08765511092686724
static,alt_rate,calibration,20,3,cruise,79401,0.028753133150736167,0.010732945703893066,0.06676045678023958,0.10035266170857231,0.17589133834931933
static,alt_rate,calibration,20,3,descent,61752,0.2718655875199838,0.04890512123108534,0.14430708476740461,0.2468035170430906,0.6238762082781386
static,alt_rate,calibration,all,mixed,climb,111359,0.012931530772468528,0.0074975156089680094,0.024103968655122942,0.037243129242148586,0.10503601006229821
static,alt_rate,calibration,all,mixed,cruise,150784,0.024473355987392392,0.009312621895208803,0.04329730267350716,0.07968041066388494,0.15692578291902148
static,alt_rate,calibration,all,mixed,descent,124500,0.1974560570429128,0.04554652522652495,0.1297445431621551,0.23938643211135843,0.5794800347883154
static,alt_rate,official_test,11,3,climb,58507,0.012002783960587453,0.007679902760005721,0.0197823320698545,0.027681394752011083,0.0818917230091342
static,alt_rate,official_test,11,3,cruise,83871,0.02708409131019174,0.00873637220070356,0.03664846499944693,0.06266579604691763,0.15107235048859471
static,alt_rate,official_test,11,3,descent,70928,0.11901668399480927,0.04557141055980328,0.1326196099507005,0.2634106839539304,0.5873083627204868
static,alt_rate,official_test,14,1,climb,13993,0.03183234973032266,0.015814859278881384,0.053796135268649424,0.09845508111221167,0.3129632840345744
static,alt_rate,official_test,14,1,cruise,30506,0.04720562081238121,0.029818325510336245,0.06718534523118429,0.09988881279770737,0.39877171794407695
static,alt_rate,official_test,14,1,descent,27769,0.09094864125903517,0.05279623988414256,0.19770039363802586,0.34165545456938773,0.5984640568070299
static,alt_rate,official_test,15,2,climb,53843,0.016548008843812845,0.009423932974337275,0.03302321838449997,0.04345140657104192,0.12122623070636808
static,alt_rate,official_test,15,2,cruise,43303,0.025212111293027764,0.01779036183697826,0.04043993228636951,0.054753594051179744,0.10296875751774609
static,alt_rate,official_test,15,2,descent,50393,0.11796919751209868,0.047750276692005426,0.1728741363051143,0.29232614980156263,0.5434133769745009
static,alt_rate,official_test,all,mixed,climb,126343,0.01613600588189223,0.008852299937366182,0.029645364217094863,0.042952482387634376,0.13893080520281575
static,alt_rate,official_test,all,mixed,cruise,157680,0.03046286495498208,0.014135448287716193,0.0480377039487299,0.06866847513929739,0.1834406902765759
static,alt_rate,official_test,all,mixed,descent,149090,0.11343477061998235,0.04792484793323054,0.1586230568011501,0.29210522891981855,0.5672424855666403
static_derivative,primary,train,2,3,climb,57051,0.014241794370354804,0.00888525918882192,0.030660574689363444,0.04350533395531285,0.07320203442737555
static_derivative,primary,train,2,3,cruise,77394,0.046531299714117534,0.012773106104659879,0.05061882598735825,0.08654826264108056,0.3395746767978025
static_derivative,primary,train,2,3,descent,54418,0.15018306029187767,0.04193556637453392,0.14596084842055884,0.3050129548444721,1.0802484395676168
static_derivative,primary,train,5,3,climb,49075,0.01297040602756067,0.006575304182061913,0.027273825391258548,0.046757726629357094,0.08820659473986078
static_derivative,primary,train,5,3,cruise,86669,0.02912840088050202,0.0119605978663341,0.06240700497663852,0.07923740533946394,0.11575829077357666
static_derivative,primary,train,5,3,descent,52806,0.12005978629250078,0.039242658695851765,0.1423546863278322,0.3246160230584143,0.809931636505038
static_derivative,primary,train,10,3,climb,50427,0.013366651696501171,0.005559159252267765,0.03156426154328759,0.047960030934819,0.12263353621418295
