detector,phase_definition,subset,unit,cycle,flight_class,phase,rows,false_alarms,any_false_alarm,false_alarm_events
raw_pca,primary,official_test,15,16,2,overall,5218,0,0,0
raw_pca,primary,official_test,15,16,2,climb,2439,0,0,0
raw_pca,primary,official_test,15,16,2,cruise,1376,0,0,0
raw_pca,primary,official_test,15,16,2,descent,1403,0,0,0
raw_pca,primary,official_test,15,17,2,overall,5804,56,1,13
raw_pca,primary,official_test,15,17,2,climb,1845,0,0,0
raw_pca,primary,official_test,15,17,2,cruise,2329,0,0,0
raw_pca,primary,official_test,15,17,2,descent,1630,56,1,13
raw_pca,primary,official_test,15,18,2,overall,8154,13,1,13
raw_pca,primary,official_test,15,18,2,climb,2033,0,0,0
raw_pca,primary,official_test,15,18,2,cruise,2970,13,1,13
raw_pca,primary,official_test,15,18,2,descent,3151,0,0,0
raw_pca,primary,official_test,15,19,2,overall,6782,34,1,31
raw_pca,primary,official_test,15,19,2,climb,2887,0,0,0
raw_pca,primary,official_test,15,19,2,cruise,1196,17,1,15
raw_pca,primary,official_test,15,19,2,descent,2699,17,1,16
raw_pca,primary,official_test,15,20,2,overall,6265,0,0,0
raw_pca,primary,official_test,15,20,2,climb,1256,0,0,0
raw_pca,primary,official_test,15,20,2,cruise,2569,0,0,0
raw_pca,primary,official_test,15,20,2,descent,2440,0,0,0
raw_pca,primary,official_test,15,21,2,overall,6381,1,1,1
raw_pca,primary,official_test,15,21,2,climb,1264,0,0,0
raw_pca,primary,official_test,15,21,2,cruise,2088,0,0,0
raw_pca,primary,official_test,15,21,2,descent,3029,1,1,1
raw_pca,primary,official_test,15,22,2,overall,5501,22,1,18
raw_pca,primary,official_test,15,22,2,climb,2343,0,0,0
raw_pca,primary,official_test,15,22,2,cruise,1857,0,0,0
raw_pca,primary,official_test,15,22,2,descent,1301,22,1,18
raw_pca,primary,official_test,15,23,2,overall,6887,1,1,1
raw_pca,primary,official_test,15,23,2,climb,1788,0,0,0
raw_pca,primary,official_test,15,23,2,cruise,3403,0,0,0
raw_pca,primary,official_test,15,23,2,descent,1696,1,1,1
raw_pca,alt_rate,official_test,11,1,3,overall,11007,174,1,41
raw_pca,alt_rate,official_test,11,1,3,climb,2930,0,0,0
raw_pca,alt_rate,official_test,11,1,3,cruise,3885,13,1,11
raw_pca,alt_rate,official_test,11,1,3,descent,4192,161,1,30
raw_pca,alt_rate,official_test,11,2,3,overall,17636,24,1,20
