detector,phase_definition,subset,unit,flight_class,phase,n,mean,median,p90,p95,p99
raw_pca,alt_rate,train,10,3,descent,57858,0.00014199805961684085,6.676734127308944e-05,0.00028854814169488447,0.0004731595248091343,0.0010472871792133146
raw_pca,alt_rate,train,16,3,climb,53813,4.414869122386189e-05,2.370418977229363e-05,0.00011104430843201363,0.00016312707800433482,0.00031146535290408353
raw_pca,alt_rate,train,16,3,cruise,79402,8.278572173657029e-05,2.5966277889165192e-05,0.0001531188958296552,0.00037299286703865045,0.001087610999067606
raw_pca,alt_rate,train,16,3,descent,61404,0.00018532294272218493,6.876719505280953e-05,0.000473031558622574,0.000645314131789334,0.0010163548200271353
raw_pca,alt_rate,train,all,mixed,climb,223192,3.667207681341885e-05,1.663866908090168e-05,9.756789930978221e-05,0.00014762784766521772,0.0002358889171202868
raw_pca,alt_rate,train,all,mixed,cruise,301714,6.269202751290325e-05,3.105453604938602e-05,8.55470612278621e-05,0.000161177574185733,0.000823666015466109
raw_pca,alt_rate,train,all,mixed,descent,235176,0.00015701004469764748,6.713666169654259e-05,0.00034857004492861815,0.0005526247930290163,0.0010309542723477639
raw_pca,alt_rate,calibration,18,3,climb,59158,3.379949259943742e-05,1.858232278326307e-05,8.507043820313057e-05,0.00011893014067312959,0.00020260628619447684
raw_pca,alt_rate,calibration,18,3,cruise,71383,3.897831669303373e-05,2.629767653628288e-05,5.3394466304529316e-05,9.788542512864462e-05,0.0003441203053625098
raw_pca,alt_rate,calibration,18,3,descent,62748,0.00014940028650249965,6.0276258717614434e-05,0.0002929091185949123,0.00047955944401886004,0.0009595998457064951
raw_pca,alt_rate,calibration,20,3,climb,52201,3.965198256017347e-05,1.607605553113685e-05,0.00011023936606318828,0.0001541710541044714,0.00025499795356170613
raw_pca,alt_rate,calibration,20,3,cruise,79401,8.278193332779468e-05,5.004032951566225e-05,0.00011168836965916327,0.0002362168631371248,0.0009132909201989948
raw_pca,alt_rate,calibration,20,3,descent,61752,0.00015890828068235234,6.189898482358872e-05,0.00029170129933893694,0.0004892705351179922,0.0009928775563975071
raw_pca,alt_rate,calibration,all,mixed,climb,111359,3.6542924458922354e-05,1.7631901674305286e-05,9.56406462181956e-05,0.00013866134343705697,0.0002384433195206213
raw_pca,alt_rate,calibration,all,mixed,cruise,150784,6.204476249906523e-05,3.219329455482054e-05,8.682136793211459e-05,0.00017758660384182976,0.0007592222513180484
raw_pca,alt_rate,calibration,all,mixed,descent,124500,0.0001541162516157066,6.116576590712498e-05,0.00029246428823396207,0.00048606168940615335,0.0009749207516938609
raw_pca,alt_rate,official_test,11,3,climb,58507,3.552633496243019e-05,2.0675399096493247e-05,8.045906311591108e-05,0.00011550233354424639,0.00018958877174975235
raw_pca,alt_rate,official_test,11,3,cruise,83871,4.915306476076007e-05,1.927085857683683e-05,7.981359738397264e-05,0.0001953636109286042,0.00048258300091678707
raw_pca,alt_rate,official_test,11,3,descent,70928,0.00018538747810571527,6.31247380518699e-05,0.00045810172505004966,0.0006695807775444426,0.0012519059816366973
raw_pca,alt_rate,official_test,14,1,climb,13993,0.00011354777230614365,0.00010548852531717715,0.00021152704558727022,0.00025131850375439556,0.00035260539736953634
raw_pca,alt_rate,official_test,14,1,cruise,30506,0.00011725068640147352,5.5111474195788235e-05,0.00022605567810713974,0.000357238587542518,0.0012103275166096901
raw_pca,alt_rate,official_test,14,1,descent,27769,0.0002309756612916624,0.00015545994926392378,0.000541959318674914,0.0006488381870041069,0.0008632789283837634
raw_pca,alt_rate,official_test,15,2,climb,53843,5.6890844393977475e-05,3.806428913435923e-05,0.00012158498806641897,0.0001605331060541274,0.0002631806673791572
raw_pca,alt_rate,official_test,15,2,cruise,43303,3.280290847875456e-05,2.528493614374926e-05,5.6905350463694135e-05,7.55438357411364e-05,0.0001065563974010755
raw_pca,alt_rate,official_test,15,2,descent,50393,0.0001487873840103342,8.734735129986577e-05,0.00031011018861298693,0.0004100118228490337,0.0007174477856503637
raw_pca,alt_rate,official_test,all,mixed,climb,126343,5.327233793903659e-05,3.306532858035005e-05,0.00012790354528154148,0.00016498863332244258,0.00026811339170197977
raw_pca,alt_rate,official_test,all,mixed,cruise,157680,5.783758548813145e-05,2.618430373113303e-05,0.00010666310473533044,0.00019915787043666455,0.000499210461834634
raw_pca,alt_rate,official_test,all,mixed,descent,149090,0.00018150760498975862,9.236079417876669e-05,0.0004174413186584941,0.0006075507513352574,0.0010078914869396608
condition_corrected_pca,primary,train,2,3,climb,57051,0.010347455421808819,0.00653562597627468,0.021374551362653208,0.031815729937443415,0.052459489534207704
condition_corrected_pca,primary,train,2,3,cruise,77394,0.03410516011820024,0.008458402700114992,0.04173894174300239,0.08009271625204824,0.24413818227901918
condition_corrected_pca,primary,train,2,3,descent,54418,0.11133411114470544,0.03877804598588924,0.12943216339667768,0.23726825616965114,0.517522426208194
condition_corrected_pca,primary,train,5,3,climb,49075,0.010228402291543131,0.00559319367702973,0.01905648278995233,0.0335816013809086,0.07692500081392811
condition_corrected_pca,primary,train,5,3,cruise,86669,0.023186543990396515,0.007665773527671061,0.06077338525717239,0.07724727945702692,0.11425833811765218
condition_corrected_pca,primary,train,5,3,descent,52806,0.09204485562267678,0.040847739403782904,0.12065914307986453,0.25799145939702095,0.5260400214930957
condition_corrected_pca,primary,train,10,3,climb,50427,0.011597282670594709,0.0059615408738519894,0.023392334573913296,0.036719165656170026,0.11447440483947345
condition_corrected_pca,primary,train,10,3,cruise,83833,0.01833877348026273,0.005787566300624942,0.02997678770210234,0.05781419923472387,0.11862557495547187
condition_corrected_pca,primary,train,10,3,descent,53790,0.09456543914538533,0.04131067248671087,0.11606323364519203,0.1917462115659421,0.4747051684749347
condition_corrected_pca,primary,train,16,3,climb,52689,0.009894138961025626,0.005712400804124762,0.021020497465594232,0.030751934979414634,0.07362468543075221
condition_corrected_pca,primary,train,16,3,cruise,84042,0.0298758776121751,0.008251820355271054,0.058051804638520096,0.07622777883848451,0.21212217548919413
condition_corrected_pca,primary,train,16,3,descent,57888,0.21470162650801755,0.04304071091768126,0.13852610041060603,0.24580645922636513,0.5547502256880598
condition_corrected_pca,primary,train,all,mixed,climb,209242,0.010506590372270638,0.005967153415359585,0.021348358965936853,0.03315643043153789,0.0855717617617251
condition_corrected_pca,primary,train,all,mixed,cruise,331938,0.02620161670777359,0.007397915131398366,0.051070831708079814,0.07376230994776521,0.16768929417581224
condition_corrected_pca,primary,train,all,mixed,descent,218902,0.12989567492855272,0.04100125890382433,0.12639550274668068,0.23172622404467916,0.518263744118697
condition_corrected_pca,primary,calibration,18,3,climb,56332,0.01188877108427139,0.006208342713585772,0.02007319903349769,0.03240945309137363,0.13115901297025517
condition_corrected_pca,primary,calibration,18,3,cruise,78219,0.032729855689144674,0.00891836121797889,0.029727491819245083,0.06260855951638696,0.14541729471468237
condition_corrected_pca,primary,calibration,18,3,descent,58738,0.1133730479587595,0.04249439511095654,0.10651523994567587,0.21970324018126536,0.5229188176966879
condition_corrected_pca,primary,calibration,20,3,climb,53830,0.014194630794460386,0.008616787772586235,0.02779298078710801,0.040377205539423484,0.08644290094070722
condition_corrected_pca,primary,calibration,20,3,cruise,68886,0.0667956046922082,0.009852533817509525,0.05301292611198341,0.08504308448009937,0.23151544847508918
condition_corrected_pca,primary,calibration,20,3,descent,70638,0.20469186208512136,0.04755523098012217,0.13697068989466857,0.2033055297389618,0.5051342916342448
condition_corrected_pca,primary,calibration,all,mixed,climb,110162,0.01301551558963144,0.007548213553141716,0.024214513246160946,0.037298543205427075,0.10614709961266063
condition_corrected_pca,primary,calibration,all,mixed,cruise,147105,0.04868208835169886,0.00918056869244997,0.03975173849431713,0.07486291133814206,0.17601461251401415
condition_corrected_pca,primary,calibration,all,mixed,descent,129376,0.1632322057025292,0.04471482858415973,0.12778050361797716,0.20870795325388797,0.5117991441192321
condition_corrected_pca,primary,official_test,11,3,climb,53678,0.01227637025456198,0.00789832184852217,0.020585111896031627,0.030153749032207532,0.08428876162586654
