seed,stage,epoch,train_loss,validation_loss,best_epoch,epochs_run,max_epochs,patience,min_delta,fit_units,validation_units
0,engine_disjoint_epoch_selection,59,0.06799943509760022,0.03980166138093584,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,60,0.0672923639079157,0.03921571196834126,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,61,0.06667310299379377,0.03874837465981897,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,62,0.06607915912283688,0.037763608471548825,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,63,0.0653789002381938,0.03726661858150826,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,64,0.06472795371813415,0.03677295310545623,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,65,0.06419775688334989,0.03661166768728562,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,66,0.0636438153726894,0.035859614923210915,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,67,0.06306501358018402,0.03549552247174773,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,68,0.0625094096633971,0.034682833712241554,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,69,0.0619305068292275,0.034249832235108274,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,70,0.0613493389105444,0.03353459650029449,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,71,0.060788328861477364,0.03293175031688213,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,72,0.06028398463676358,0.03275018015043409,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,73,0.05981017262220599,0.032304362410627806,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,74,0.05929706519336291,0.03153082874931953,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,75,0.05876039120770048,0.03126321142299335,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,76,0.058267013632757936,0.030534547793784637,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,77,0.05779807443022548,0.030507259506691423,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,78,0.05726247618688769,0.030061052829561966,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,79,0.05676476753071261,0.02946066606353141,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,80,0.05616337854816848,0.02870140884673226,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,81,0.055699189110343744,0.02831080020432482,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,82,0.0552115983885244,0.027653143195332526,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,83,0.05465033619614822,0.027308700746435353,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,84,0.05418753040697379,0.026948796816567835,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,85,0.05380787859507393,0.026517639124596266,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,86,0.05332061597063116,0.02595041204348946,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,87,0.0527237819278755,0.02560427116086449,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,88,0.05229586638989531,0.025440702347232034,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,89,0.051878844456743234,0.02487445138768143,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,90,0.051416864167596235,0.024597271092703113,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,91,0.051023825919365315,0.02430172495507494,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,92,0.050639316762764626,0.023892586005092416,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,93,0.05022090645723565,0.023843407880951545,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,94,0.04985440547140082,0.023594070164314435,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,95,0.04949436193504783,0.02301383790812051,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,96,0.04915768661660321,0.02287565803394482,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,97,0.04884518583315588,0.02280858523693987,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,98,0.048481955336717925,0.022586059748112418,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,99,0.0481555969828171,0.02228819687753756,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,100,0.04778002096929063,0.022002797781295973,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,101,0.04746286328268785,0.021597479307076447,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,102,0.047197112126927905,0.021576526475602778,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,103,0.046921759420779134,0.02110534779982699,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,104,0.04658568418843262,0.02110257012058988,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,105,0.046243457281492296,0.020985608888767004,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,106,0.045917517495853814,0.0206066448075653,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,107,0.04563811154424586,0.020447007594645315,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,108,0.045380886945433574,0.020140350740068695,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,109,0.04506191436850531,0.02016017587555508,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,110,0.04486942227892701,0.020226029409614373,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,111,0.04460916481720865,0.020046397706785003,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,112,0.04439217738246889,0.01947842164351873,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,113,0.04401696624801944,0.019612612576508016,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,114,0.04381978868250039,0.01917659650174534,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,115,0.04355741248538364,0.019111431053373203,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,116,0.04328379744815164,0.01895061369348978,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,117,0.043076793033527266,0.018782825243275805,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,118,0.04275147654937495,0.018624557978732966,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,119,0.04250932858811877,0.018459736564670013,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,120,0.042273191108116025,0.018346702266311736,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,121,0.042147196300510045,0.018143013567670025,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,122,0.041777199699381116,0.0180485373581242,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,123,0.04156823459257715,0.01787498641253018,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,124,0.041408280511163076,0.017810358364413706,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,125,0.041300180332065166,0.017566666461959694,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,126,0.04093611604027502,0.01770044156538804,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,127,0.040765116618717234,0.01743372235090353,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,128,0.040535509028272014,0.01716751475568641,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,129,0.04024998573549778,0.017073611061880288,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,130,0.04003834362945972,0.01683341381683741,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,131,0.03984280421776341,0.016947479576976725,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,132,0.039661933820581044,0.016766751070896025,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,133,0.03948480593981753,0.016599212207318574,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,134,0.039273432596541355,0.016636168142766337,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,135,0.039087797629800816,0.016406890257508903,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,136,0.03894887530742474,0.01645262928671338,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,137,0.03885317030215112,0.01641320259913896,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
0,engine_disjoint_epoch_selection,138,0.03877011578236415,0.016098513633214184,170,170,600,6.0,0.0001,"1,2,3,5,6,7",9
