detector,seed,phase_definition,nominal_fpr,unit,flight_class,phase,n,false_alarms,false_alarm_rate,threshold
isolation_forest,0,primary,0.005,14,1,climb,33331,61,0.0018301281089676278,0.5631009089505477
isolation_forest,0,primary,0.005,14,1,cruise,52432,304,0.005797985962770827,0.5631009089505477
isolation_forest,0,primary,0.005,14,1,descent,73818,303,0.004104689913029342,0.5631009089505477
isolation_forest,0,primary,0.005,15,2,overall,216930,1158,0.005338127506568939,0.5631009089505477
isolation_forest,0,primary,0.005,15,2,climb,64502,149,0.0023100058912901926,0.5631009089505477
isolation_forest,0,primary,0.005,15,2,cruise,61379,346,0.005637107153912576,0.5631009089505477
isolation_forest,0,primary,0.005,15,2,descent,91049,663,0.007281793320080396,0.5631009089505477
isolation_forest,0,primary,0.005,all,mixed,overall,1294679,8759,0.006765383542947712,0.5631009089505477
isolation_forest,0,primary,0.005,all,mixed,climb,326613,929,0.0028443448362435054,0.5631009089505477
isolation_forest,0,primary,0.005,all,mixed,cruise,436402,2305,0.005281827306016013,0.5631009089505477
isolation_forest,0,primary,0.005,all,mixed,descent,531664,5525,0.010391901652171296,0.5631009089505477
isolation_forest,0,primary,0.01,10,3,overall,249848,4206,0.016834235215010727,0.5192891002309581
isolation_forest,0,primary,0.01,10,3,climb,63828,239,0.0037444381776023062,0.5192891002309581
isolation_forest,0,primary,0.01,10,3,cruise,95181,1139,0.011966674021075634,0.5192891002309581
isolation_forest,0,primary,0.01,10,3,descent,90839,2828,0.03113200277413886,0.5192891002309581
isolation_forest,0,primary,0.01,11,3,overall,261207,3589,0.013740060564992515,0.5192891002309581
isolation_forest,0,primary,0.01,11,3,climb,63479,183,0.002882843144977079,0.5192891002309581
isolation_forest,0,primary,0.01,11,3,cruise,98352,1139,0.011580852448348788,0.5192891002309581
isolation_forest,0,primary,0.01,11,3,descent,99376,2267,0.022812349058122686,0.5192891002309581
isolation_forest,0,primary,0.01,12,1,overall,155440,1927,0.012397066392177046,0.5192891002309581
isolation_forest,0,primary,0.01,12,1,climb,35417,300,0.008470508512861056,0.5192891002309581
isolation_forest,0,primary,0.01,12,1,cruise,47845,295,0.006165743546870102,0.5192891002309581
isolation_forest,0,primary,0.01,12,1,descent,72178,1332,0.018454376679874755,0.5192891002309581
isolation_forest,0,primary,0.01,13,3,overall,251673,4116,0.01635455531582649,0.5192891002309581
isolation_forest,0,primary,0.01,13,3,climb,66056,299,0.004526462395543176,0.5192891002309581
isolation_forest,0,primary,0.01,13,3,cruise,81213,1035,0.012744265080713678,0.5192891002309581
isolation_forest,0,primary,0.01,13,3,descent,104404,2782,0.026646488640281983,0.5192891002309581
isolation_forest,0,primary,0.01,14,1,overall,159581,1616,0.01012651882116292,0.5192891002309581
isolation_forest,0,primary,0.01,14,1,climb,33331,96,0.002880201614112988,0.5192891002309581
isolation_forest,0,primary,0.01,14,1,cruise,52432,574,0.010947512969179127,0.5192891002309581
isolation_forest,0,primary,0.01,14,1,descent,73818,946,0.012815302500745076,0.5192891002309581
isolation_forest,0,primary,0.01,15,2,overall,216930,2201,0.010146130088046835,0.5192891002309581
isolation_forest,0,primary,0.01,15,2,climb,64502,244,0.003782828439428235,0.5192891002309581
isolation_forest,0,primary,0.01,15,2,cruise,61379,596,0.009710161455872529,0.5192891002309581
isolation_forest,0,primary,0.01,15,2,descent,91049,1361,0.01494799503564015,0.5192891002309581
isolation_forest,0,primary,0.01,all,mixed,overall,1294679,17655,0.01363658482141133,0.5192891002309581
isolation_forest,0,primary,0.01,all,mixed,climb,326613,1361,0.0041670111110090535,0.5192891002309581
isolation_forest,0,primary,0.01,all,mixed,cruise,436402,4778,0.010948620767090893,0.5192891002309581
isolation_forest,0,primary,0.01,all,mixed,descent,531664,11516,0.021660296728761023,0.5192891002309581
isolation_forest,0,primary,0.02,10,3,overall,249848,8238,0.032972047004578786,0.4879599265088624
isolation_forest,0,primary,0.02,10,3,climb,63828,789,0.012361346117691295,0.4879599265088624
isolation_forest,0,primary,0.02,10,3,cruise,95181,1919,0.02016158687132936,0.4879599265088624
isolation_forest,0,primary,0.02,10,3,descent,90839,5530,0.060876936117746784,0.4879599265088624
isolation_forest,0,primary,0.02,11,3,overall,261207,6452,0.024700716290145364,0.4879599265088624
isolation_forest,0,primary,0.02,11,3,climb,63479,241,0.0037965311362812898,0.4879599265088624
isolation_forest,0,primary,0.02,11,3,cruise,98352,1791,0.018210102489019032,0.4879599265088624
isolation_forest,0,primary,0.02,11,3,descent,99376,4420,0.04447753984865561,0.4879599265088624
isolation_forest,0,primary,0.02,12,1,overall,155440,4471,0.028763510036026764,0.4879599265088624
isolation_forest,0,primary,0.02,12,1,climb,35417,417,0.011774006832876866,0.4879599265088624
isolation_forest,0,primary,0.02,12,1,cruise,47845,692,0.014463371303166475,0.4879599265088624
isolation_forest,0,primary,0.02,12,1,descent,72178,3362,0.04657929008839259,0.4879599265088624
isolation_forest,0,primary,0.02,13,3,overall,251673,6669,0.026498670894374843,0.4879599265088624
isolation_forest,0,primary,0.02,13,3,climb,66056,486,0.0073573937265350615,0.4879599265088624
isolation_forest,0,primary,0.02,13,3,cruise,81213,1811,0.022299385566350215,0.4879599265088624
isolation_forest,0,primary,0.02,13,3,descent,104404,4372,0.04187579019960921,0.4879599265088624
isolation_forest,0,primary,0.02,14,1,overall,159581,3977,0.024921513212725826,0.4879599265088624
isolation_forest,0,primary,0.02,14,1,climb,33331,135,0.004050283519846389,0.4879599265088624
isolation_forest,0,primary,0.02,14,1,cruise,52432,912,0.01739395788831248,0.4879599265088624
isolation_forest,0,primary,0.02,14,1,descent,73818,2930,0.03969221599067978,0.4879599265088624
