detector,seed,phase_definition,nominal_fpr,unit,flight_class,calibration_phase,test_phase,n,false_alarms,false_alarm_rate,threshold
isolation_forest,2,primary,0.01,10,3,cruise,climb,63828,386,0.006047502663407909,0.5073186190087529
isolation_forest,2,primary,0.01,10,3,cruise,cruise,95181,1516,0.015927548565364935,0.5073186190087529
isolation_forest,2,primary,0.01,10,3,cruise,descent,90839,3662,0.04031308138574841,0.5073186190087529
isolation_forest,2,primary,0.01,11,3,cruise,climb,63479,210,0.0033081806581704187,0.5073186190087529
isolation_forest,2,primary,0.01,11,3,cruise,cruise,98352,1442,0.01466162355620628,0.5073186190087529
isolation_forest,2,primary,0.01,11,3,cruise,descent,99376,2815,0.028326758976010304,0.5073186190087529
isolation_forest,2,primary,0.01,12,1,cruise,climb,35417,325,0.009176384222266144,0.5073186190087529
isolation_forest,2,primary,0.01,12,1,cruise,cruise,47845,355,0.007419793081826732,0.5073186190087529
isolation_forest,2,primary,0.01,12,1,cruise,descent,72178,1758,0.024356452104519383,0.5073186190087529
isolation_forest,2,primary,0.01,13,3,cruise,climb,66056,339,0.005132009204311493,0.5073186190087529
isolation_forest,2,primary,0.01,13,3,cruise,cruise,81213,1465,0.01803898390651743,0.5073186190087529
isolation_forest,2,primary,0.01,13,3,cruise,descent,104404,3133,0.030008428795831578,0.5073186190087529
isolation_forest,2,primary,0.01,14,1,cruise,climb,33331,99,0.0029702079145540188,0.5073186190087529
isolation_forest,2,primary,0.01,14,1,cruise,cruise,52432,651,0.012416081782117791,0.5073186190087529
isolation_forest,2,primary,0.01,14,1,cruise,descent,73818,1306,0.017692161803354197,0.5073186190087529
isolation_forest,2,primary,0.01,15,2,cruise,climb,64502,285,0.004418467644414127,0.5073186190087529
isolation_forest,2,primary,0.01,15,2,cruise,cruise,61379,784,0.012773098290946415,0.5073186190087529
isolation_forest,2,primary,0.01,15,2,cruise,descent,91049,1625,0.017847532647255873,0.5073186190087529
isolation_forest,2,primary,0.01,all,mixed,cruise,climb,326613,1644,0.005033479990080003,0.5073186190087529
isolation_forest,2,primary,0.01,all,mixed,cruise,cruise,436402,6213,0.014236873341552055,0.5073186190087529
isolation_forest,2,primary,0.01,all,mixed,cruise,descent,531664,14299,0.026894805741972373,0.5073186190087529
isolation_forest,2,primary,0.01,10,3,descent,climb,63828,168,0.0026320736980635457,0.551045741753007
isolation_forest,2,primary,0.01,10,3,descent,cruise,95181,758,0.007963774282682468,0.551045741753007
