detector,seed,phase_definition,nominal_fpr,unit,cycle,flight_class,phase,rows,false_alarms,any_false_alarm,false_alarm_events
pca,-1,primary,0.005,12,35,1,cruise,1012,1,1,1
pca,-1,primary,0.005,12,35,1,descent,2650,6,1,6
pca,-1,primary,0.005,12,36,1,overall,3796,8,1,8
pca,-1,primary,0.005,12,36,1,climb,1240,1,1,1
pca,-1,primary,0.005,12,36,1,cruise,927,3,1,3
pca,-1,primary,0.005,12,36,1,descent,1629,4,1,4
pca,-1,primary,0.005,13,1,3,overall,15078,167,1,51
pca,-1,primary,0.005,13,1,3,climb,3331,0,0,0
pca,-1,primary,0.005,13,1,3,cruise,7472,7,1,3
pca,-1,primary,0.005,13,1,3,descent,4275,160,1,48
pca,-1,primary,0.005,13,2,3,overall,14761,124,1,39
pca,-1,primary,0.005,13,2,3,climb,4833,4,1,3
pca,-1,primary,0.005,13,2,3,cruise,4077,52,1,10
pca,-1,primary,0.005,13,2,3,descent,5851,68,1,26
pca,-1,primary,0.005,13,3,3,overall,13516,302,1,49
pca,-1,primary,0.005,13,3,3,climb,4349,0,0,0
pca,-1,primary,0.005,13,3,3,cruise,5197,83,1,9
pca,-1,primary,0.005,13,3,3,descent,3970,219,1,40
pca,-1,primary,0.005,13,4,3,overall,14379,95,1,21
pca,-1,primary,0.005,13,4,3,climb,4840,0,0,0
pca,-1,primary,0.005,13,4,3,cruise,5926,21,1,7
pca,-1,primary,0.005,13,4,3,descent,3613,74,1,14
pca,-1,primary,0.005,13,5,3,overall,10288,21,1,15
pca,-1,primary,0.005,13,5,3,climb,3942,8,1,4
pca,-1,primary,0.005,13,5,3,cruise,1814,2,1,2
pca,-1,primary,0.005,13,5,3,descent,4532,11,1,9
pca,-1,primary,0.005,13,6,3,overall,12422,36,1,23
pca,-1,primary,0.005,13,6,3,climb,3062,1,1,1
pca,-1,primary,0.005,13,6,3,cruise,5117,4,1,2
pca,-1,primary,0.005,13,6,3,descent,4243,31,1,20
pca,-1,primary,0.005,13,7,3,overall,17413,253,1,82
pca,-1,primary,0.005,13,7,3,climb,3629,25,1,20
pca,-1,primary,0.005,13,7,3,cruise,3863,13,1,8
pca,-1,primary,0.005,13,7,3,descent,9921,215,1,54
pca,-1,primary,0.005,13,8,3,overall,8926,9,1,8
pca,-1,primary,0.005,13,8,3,climb,2359,0,0,0
pca,-1,primary,0.005,13,8,3,cruise,4101,0,0,0
pca,-1,primary,0.005,13,8,3,descent,2466,9,1,8
pca,-1,primary,0.005,13,9,3,overall,15217,57,1,41
pca,-1,primary,0.005,13,9,3,climb,3779,0,0,0
pca,-1,primary,0.005,13,9,3,cruise,3670,0,0,0
pca,-1,primary,0.005,13,9,3,descent,7768,57,1,41
pca,-1,primary,0.005,13,10,3,overall,17399,75,1,39
pca,-1,primary,0.005,13,10,3,climb,3488,0,0,0
pca,-1,primary,0.005,13,10,3,cruise,7728,18,1,11
pca,-1,primary,0.005,13,10,3,descent,6183,57,1,28
pca,-1,primary,0.005,13,11,3,overall,12701,112,1,34
pca,-1,primary,0.005,13,11,3,climb,4282,4,1,4
pca,-1,primary,0.005,13,11,3,cruise,1698,20,1,4
pca,-1,primary,0.005,13,11,3,descent,6721,88,1,26
pca,-1,primary,0.005,13,12,3,overall,15203,89,1,28
pca,-1,primary,0.005,13,12,3,climb,4464,0,0,0
pca,-1,primary,0.005,13,12,3,cruise,5889,5,1,3
pca,-1,primary,0.005,13,12,3,descent,4850,84,1,25
pca,-1,primary,0.005,13,13,3,overall,14126,272,1,115
pca,-1,primary,0.005,13,13,3,climb,3234,62,1,49
pca,-1,primary,0.005,13,13,3,cruise,3631,9,1,7
pca,-1,primary,0.005,13,13,3,descent,7261,201,1,59
pca,-1,primary,0.005,13,14,3,overall,14126,276,1,119
pca,-1,primary,0.005,13,14,3,climb,3234,62,1,48
pca,-1,primary,0.005,13,14,3,cruise,3631,8,1,8
pca,-1,primary,0.005,13,14,3,descent,7261,206,1,63
pca,-1,primary,0.005,13,15,3,overall,9186,13,1,9
pca,-1,primary,0.005,13,15,3,climb,2004,0,0,0
pca,-1,primary,0.005,13,15,3,cruise,1584,0,0,0
pca,-1,primary,0.005,13,15,3,descent,5598,13,1,9
pca,-1,primary,0.005,13,16,3,overall,18726,232,1,28
pca,-1,primary,0.005,13,16,3,climb,3532,223,1,20
pca,-1,primary,0.005,13,16,3,cruise,9754,3,1,3
pca,-1,primary,0.005,13,16,3,descent,5440,6,1,5
pca,-1,primary,0.005,13,17,3,overall,11636,16,1,14
pca,-1,primary,0.005,13,17,3,climb,3072,0,0,0
pca,-1,primary,0.005,13,17,3,cruise,3760,0,0,0
pca,-1,primary,0.005,13,17,3,descent,4804,16,1,14
pca,-1,primary,0.005,13,18,3,overall,16570,141,1,46
pca,-1,primary,0.005,13,18,3,climb,4622,7,1,3
pca,-1,primary,0.005,13,18,3,cruise,2301,34,1,14
pca,-1,primary,0.005,13,18,3,descent,9647,100,1,29
pca,-1,primary,0.005,14,1,1,overall,4498,26,1,10
pca,-1,primary,0.005,14,1,1,climb,710,19,1,4
pca,-1,primary,0.005,14,1,1,cruise,2649,5,1,4
pca,-1,primary,0.005,14,1,1,descent,1139,2,1,2
pca,-1,primary,0.005,14,2,1,overall,3336,27,1,22
pca,-1,primary,0.005,14,2,1,climb,1028,1,1,1
pca,-1,primary,0.005,14,2,1,cruise,771,0,0,0
pca,-1,primary,0.005,14,2,1,descent,1537,26,1,21
pca,-1,primary,0.005,14,3,1,overall,5130,39,1,30
pca,-1,primary,0.005,14,3,1,climb,779,0,0,0
pca,-1,primary,0.005,14,3,1,cruise,1624,13,1,11
pca,-1,primary,0.005,14,3,1,descent,2727,26,1,19
pca,-1,primary,0.005,14,4,1,overall,3814,38,1,33
pca,-1,primary,0.005,14,4,1,climb,778,1,1,1
pca,-1,primary,0.005,14,4,1,cruise,1275,28,1,23
pca,-1,primary,0.005,14,4,1,descent,1761,9,1,9
pca,-1,primary,0.005,14,5,1,overall,5069,11,1,11
pca,-1,primary,0.005,14,5,1,climb,1772,0,0,0
pca,-1,primary,0.005,14,5,1,cruise,686,0,0,0
pca,-1,primary,0.005,14,5,1,descent,2611,11,1,11
pca,-1,primary,0.005,14,6,1,overall,4660,10,1,8
pca,-1,primary,0.005,14,6,1,climb,868,4,1,4
pca,-1,primary,0.005,14,6,1,cruise,1700,0,0,0
pca,-1,primary,0.005,14,6,1,descent,2092,6,1,4
pca,-1,primary,0.005,14,7,1,overall,3814,38,1,33
pca,-1,primary,0.005,14,7,1,climb,778,2,1,2
pca,-1,primary,0.005,14,7,1,cruise,1275,27,1,22
pca,-1,primary,0.005,14,7,1,descent,1761,9,1,9
pca,-1,primary,0.005,14,8,1,overall,4498,26,1,10
pca,-1,primary,0.005,14,8,1,climb,710,19,1,4
pca,-1,primary,0.005,14,8,1,cruise,2649,5,1,4
pca,-1,primary,0.005,14,8,1,descent,1139,2,1,2
pca,-1,primary,0.005,14,9,1,overall,5355,16,1,15
pca,-1,primary,0.005,14,9,1,climb,570,0,0,0
pca,-1,primary,0.005,14,9,1,cruise,2042,5,1,4
pca,-1,primary,0.005,14,9,1,descent,2743,11,1,11
pca,-1,primary,0.005,14,10,1,overall,5355,16,1,15
pca,-1,primary,0.005,14,10,1,climb,570,0,0,0
pca,-1,primary,0.005,14,10,1,cruise,2042,5,1,4
pca,-1,primary,0.005,14,10,1,descent,2743,11,1,11
pca,-1,primary,0.005,14,11,1,overall,4462,14,1,8
pca,-1,primary,0.005,14,11,1,climb,1150,0,0,0
pca,-1,primary,0.005,14,11,1,cruise,1292,0,0,0
pca,-1,primary,0.005,14,11,1,descent,2020,14,1,8
pca,-1,primary,0.005,14,12,1,overall,5069,11,1,11
pca,-1,primary,0.005,14,12,1,climb,1772,0,0,0
pca,-1,primary,0.005,14,12,1,cruise,686,0,0,0
pca,-1,primary,0.005,14,12,1,descent,2611,11,1,11
pca,-1,primary,0.005,14,13,1,overall,3814,37,1,32
pca,-1,primary,0.005,14,13,1,climb,778,1,1,1
pca,-1,primary,0.005,14,13,1,cruise,1275,27,1,22
pca,-1,primary,0.005,14,13,1,descent,1761,9,1,9
pca,-1,primary,0.005,14,14,1,overall,4495,5,1,4
pca,-1,primary,0.005,14,14,1,climb,1017,1,1,1
pca,-1,primary,0.005,14,14,1,cruise,1571,0,0,0
pca,-1,primary,0.005,14,14,1,descent,1907,4,1,3
pca,-1,primary,0.005,14,15,1,overall,4958,15,1,13
pca,-1,primary,0.005,14,15,1,climb,1296,8,1,6
pca,-1,primary,0.005,14,15,1,cruise,1012,0,0,0
pca,-1,primary,0.005,14,15,1,descent,2650,7,1,7
pca,-1,primary,0.005,14,16,1,overall,3336,28,1,22
pca,-1,primary,0.005,14,16,1,climb,1028,1,1,1
pca,-1,primary,0.005,14,16,1,cruise,771,0,0,0
pca,-1,primary,0.005,14,16,1,descent,1537,27,1,21
pca,-1,primary,0.005,14,17,1,overall,5069,13,1,13
pca,-1,primary,0.005,14,17,1,climb,1772,0,0,0
pca,-1,primary,0.005,14,17,1,cruise,686,0,0,0
pca,-1,primary,0.005,14,17,1,descent,2611,13,1,13
pca,-1,primary,0.005,14,18,1,overall,4495,5,1,4
pca,-1,primary,0.005,14,18,1,climb,1017,1,1,1
pca,-1,primary,0.005,14,18,1,cruise,1571,0,0,0
pca,-1,primary,0.005,14,18,1,descent,1907,4,1,3
pca,-1,primary,0.005,14,19,1,overall,5355,16,1,15
pca,-1,primary,0.005,14,19,1,climb,570,0,0,0
pca,-1,primary,0.005,14,19,1,cruise,2042,5,1,4
pca,-1,primary,0.005,14,19,1,descent,2743,11,1,11
pca,-1,primary,0.005,14,20,1,overall,4495,5,1,4
pca,-1,primary,0.005,14,20,1,climb,1017,1,1,1
