detector,seed,phase_definition,nominal_fpr,unit,flight_class,phase,healthy_flights,fraction_flights_with_false_alarm,events_per_healthy_flight
isolation_forest,0,primary,0.01,14,1,climb,35,0.8571428571428571,1.2285714285714286
isolation_forest,0,primary,0.01,14,1,cruise,35,0.6,4.685714285714286
isolation_forest,0,primary,0.01,14,1,descent,35,1.0,14.314285714285715
isolation_forest,0,primary,0.01,14,1,overall,35,1.0,20.228571428571428
isolation_forest,0,primary,0.01,15,2,climb,24,0.8333333333333334,3.25
isolation_forest,0,primary,0.01,15,2,cruise,24,0.5416666666666666,6.5
isolation_forest,0,primary,0.01,15,2,descent,24,1.0,17.416666666666668
isolation_forest,0,primary,0.01,15,2,overall,24,1.0,27.166666666666668
isolation_forest,0,primary,0.01,all,mixed,climb,148,0.8108108108108109,2.9324324324324325
isolation_forest,0,primary,0.01,all,mixed,cruise,148,0.6756756756756757,6.756756756756757
isolation_forest,0,primary,0.01,all,mixed,descent,148,0.9932432432432432,22.9527027027027
isolation_forest,0,primary,0.01,all,mixed,overall,148,1.0,32.608108108108105
isolation_forest,0,primary,0.02,10,3,climb,17,0.9411764705882353,11.588235294117647
isolation_forest,0,primary,0.02,10,3,cruise,17,0.9411764705882353,20.823529411764707
isolation_forest,0,primary,0.02,10,3,descent,17,1.0,68.05882352941177
isolation_forest,0,primary,0.02,10,3,overall,17,1.0,100.3529411764706
isolation_forest,0,primary,0.02,11,3,climb,18,0.8333333333333334,2.5
isolation_forest,0,primary,0.02,11,3,cruise,18,0.9444444444444444,21.166666666666668
isolation_forest,0,primary,0.02,11,3,descent,18,1.0,56.888888888888886
isolation_forest,0,primary,0.02,11,3,overall,18,1.0,80.5
isolation_forest,0,primary,0.02,12,1,climb,36,0.9722222222222222,2.3333333333333335
isolation_forest,0,primary,0.02,12,1,cruise,36,0.75,4.861111111111111
isolation_forest,0,primary,0.02,12,1,descent,36,0.9722222222222222,25.805555555555557
isolation_forest,0,primary,0.02,12,1,overall,36,1.0,33.0
isolation_forest,0,primary,0.02,13,3,climb,18,0.8888888888888888,11.222222222222221
isolation_forest,0,primary,0.02,13,3,cruise,18,0.8333333333333334,10.833333333333334
isolation_forest,0,primary,0.02,13,3,descent,18,1.0,54.5
isolation_forest,0,primary,0.02,13,3,overall,18,1.0,76.44444444444444
isolation_forest,0,primary,0.02,14,1,climb,35,0.9714285714285714,1.542857142857143
isolation_forest,0,primary,0.02,14,1,cruise,35,0.6571428571428571,5.0285714285714285
isolation_forest,0,primary,0.02,14,1,descent,35,1.0,27.857142857142858
isolation_forest,0,primary,0.02,14,1,overall,35,1.0,34.42857142857143
isolation_forest,0,primary,0.02,15,2,climb,24,0.9166666666666666,4.916666666666667
isolation_forest,0,primary,0.02,15,2,cruise,24,0.5833333333333334,8.791666666666666
isolation_forest,0,primary,0.02,15,2,descent,24,1.0,28.583333333333332
isolation_forest,0,primary,0.02,15,2,overall,24,1.0,42.291666666666664
isolation_forest,0,primary,0.02,all,mixed,climb,148,0.9324324324324325,4.72972972972973
isolation_forest,0,primary,0.02,all,mixed,cruise,148,0.7567567567567568,10.08108108108108
isolation_forest,0,primary,0.02,all,mixed,descent,148,0.9932432432432432,38.86486486486486
isolation_forest,0,primary,0.02,all,mixed,overall,148,1.0,53.641891891891895
isolation_forest,1,primary,0.005,10,3,climb,17,0.47058823529411764,2.176470588235294
isolation_forest,1,primary,0.005,10,3,cruise,17,0.8823529411764706,9.235294117647058
isolation_forest,1,primary,0.005,10,3,descent,17,1.0,23.529411764705884
isolation_forest,1,primary,0.005,10,3,overall,17,1.0,34.94117647058823
isolation_forest,1,primary,0.005,11,3,climb,18,0.5555555555555556,1.2777777777777777
isolation_forest,1,primary,0.005,11,3,cruise,18,0.8333333333333334,9.88888888888889
isolation_forest,1,primary,0.005,11,3,descent,18,1.0,21.77777777777778
isolation_forest,1,primary,0.005,11,3,overall,18,1.0,32.94444444444444
isolation_forest,1,primary,0.005,12,1,climb,36,0.6944444444444444,0.9166666666666666
isolation_forest,1,primary,0.005,12,1,cruise,36,0.3333333333333333,1.1666666666666667
isolation_forest,1,primary,0.005,12,1,descent,36,0.9722222222222222,5.083333333333333
isolation_forest,1,primary,0.005,12,1,overall,36,1.0,7.166666666666667
isolation_forest,1,primary,0.005,13,3,climb,18,0.5,4.777777777777778
isolation_forest,1,primary,0.005,13,3,cruise,18,0.6666666666666666,5.277777777777778
isolation_forest,1,primary,0.005,13,3,descent,18,1.0,21.38888888888889
isolation_forest,1,primary,0.005,13,3,overall,18,1.0,31.38888888888889
isolation_forest,1,primary,0.005,14,1,climb,35,0.5428571428571428,0.7428571428571429
isolation_forest,1,primary,0.005,14,1,cruise,35,0.5142857142857142,2.5142857142857142
isolation_forest,1,primary,0.005,14,1,descent,35,0.9714285714285714,4.885714285714286
isolation_forest,1,primary,0.005,14,1,overall,35,1.0,8.142857142857142
isolation_forest,1,primary,0.005,15,2,climb,24,0.5,1.5
isolation_forest,1,primary,0.005,15,2,cruise,24,0.5,4.625
isolation_forest,1,primary,0.005,15,2,descent,24,0.9583333333333334,10.5
isolation_forest,1,primary,0.005,15,2,overall,24,1.0,16.625
isolation_forest,1,primary,0.005,all,mixed,climb,148,0.5608108108108109,1.6283783783783783
isolation_forest,1,primary,0.005,all,mixed,cruise,148,0.5675675675675675,4.533783783783784
isolation_forest,1,primary,0.005,all,mixed,descent,148,0.9797297297297297,12.047297297297296
isolation_forest,1,primary,0.005,all,mixed,overall,148,1.0,18.2027027027027
isolation_forest,1,primary,0.01,10,3,climb,17,0.6470588235294118,4.0
isolation_forest,1,primary,0.01,10,3,cruise,17,0.9411764705882353,11.470588235294118
isolation_forest,1,primary,0.01,10,3,descent,17,1.0,36.35294117647059
isolation_forest,1,primary,0.01,10,3,overall,17,1.0,51.705882352941174
isolation_forest,1,primary,0.01,11,3,climb,18,0.7222222222222222,1.7777777777777777
isolation_forest,1,primary,0.01,11,3,cruise,18,0.9444444444444444,12.5
isolation_forest,1,primary,0.01,11,3,descent,18,1.0,34.77777777777778
isolation_forest,1,primary,0.01,11,3,overall,18,1.0,49.0
isolation_forest,1,primary,0.01,12,1,climb,36,0.8888888888888888,1.4166666666666667
isolation_forest,1,primary,0.01,12,1,cruise,36,0.4722222222222222,2.361111111111111
isolation_forest,1,primary,0.01,12,1,descent,36,0.9722222222222222,12.916666666666666
isolation_forest,1,primary,0.01,12,1,overall,36,1.0,16.694444444444443
isolation_forest,1,primary,0.01,13,3,climb,18,0.8333333333333334,6.722222222222222
isolation_forest,1,primary,0.01,13,3,cruise,18,0.7777777777777778,9.055555555555555
isolation_forest,1,primary,0.01,13,3,descent,18,1.0,33.05555555555556
isolation_forest,1,primary,0.01,13,3,overall,18,1.0,48.72222222222222
isolation_forest,1,primary,0.01,14,1,climb,35,0.8285714285714286,1.1714285714285715
isolation_forest,1,primary,0.01,14,1,cruise,35,0.6,4.2
isolation_forest,1,primary,0.01,14,1,descent,35,1.0,11.4
